time,old_cpps,new_cpps,current_cmas
150,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.5826820872966), 'lod': np.float64(1.7530989333156006)}"
155,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(378.63925112577084), 'lod': np.float64(1.8389255826240396)}"
160,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(380.21263696687055), 'lod': np.float64(1.8178822736285578)}"
165,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(379.6664232776724), 'lod': np.float64(1.7455143884328408)}"
170,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.6165551640748), 'lod': np.float64(1.8035318689578816)}"
175,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(381.282194969897), 'lod': np.float64(1.8665221950531505)}"
180,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(382.3243897131128), 'lod': np.float64(1.8716228187634003)}"
185,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(379.85020801320167), 'lod': np.float64(1.8214632485367257)}"
190,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.52904793100305), 'lod': np.float64(1.7714460944782884)}"
195,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.23558378516515), 'lod': np.float64(1.8275895247671046)}"
200,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(371.7555188479351), 'lod': np.float64(1.77493233408898)}"
